Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,152.79112243652344,152.8957614430933,150.61274704618017,151.04081043121997,22622100
2020-01-03,150.8886260986328,152.15380170810275,150.35592363465673,150.60326014654098,21116200
2020-01-06,151.2786407470703,151.34523581046366,148.8814652208115,149.4236895425469,20813700
2020-01-07,149.8993377685547,151.88746483638144,149.65201574834077,151.55453302244598,21634100
2020-01-08,152.2869873046875,152.9623873040274,150.25129446104728,151.18352383410192,27746500
2020-01-09,154.18946838378906,154.3131366188501,153.18113681650973,153.95165378716467,21385000
2020-01-10,153.4760284423828,155.26439889865875,153.32382361311434,154.883901340539,20725900
2020-01-13,155.32147216796875,155.35000875909117,153.39992611376826,153.87555531921038,21626500
2020-01-14,154.22755432128906,155.62590555974256,153.83753482973594,155.42613487636908,23477400
2020-01-15,155.2263641357422,155.94932992763327,154.6461103512771,154.69366166701423,21417900
2020-01-16,158.07061767578125,158.13721273567788,156.03492513756743,156.33933481414817,23865400
2020-01-17,158.9552764892578,159.30723743482343,157.36666226753334,159.25967161419416,34371700
2020-01-21,158.38449096679688,159.99211965397268,158.31789592529336,158.55571047629456,29517200
2020-01-22,157.62351989746094,159.32628062584678,157.60449066453182,159.2406563351917,24138800
2020-01-23,158.59378051757812,158.6698829212633,157.21445892402645,158.08961479383197,19680800
2020-01-24,156.9956512451172,159.36428945346628,156.43441237534347,159.34526022473113,24918100
2020-01-27,154.3701934814453,155.4165834020012,152.39157450488025,153.29526697351514,32078100
2020-01-28,157.3951873779297,157.68055322447566,155.12168087180837,155.7970660620314,24899900
2020-01-29,159.84945678710938,160.52485664465172,157.61400823323692,159.65920800817042,34754500
2020-01-30,164.35841369628906,165.56651584401405,162.46540438725938,165.56651584401405,51597500
2020-01-31,161.93272399902344,163.99695312073845,161.3144118044504,163.81622620551641,36142700
2020-02-03,165.8804473876953,165.99459375290948,162.09442843750818,162.12296502881173,30107000
2020-02-04,171.34066772460938,171.83532618385004,167.71637534499953,168.50592160194358,36433300
2020-02-05,171.13137817382812,175.221792144728,169.71401246551764,175.0600799605943,39186300
2020-02-06,174.6796112060547,174.86035265195414,171.28361123428937,172.14925999356916,27751400
2020-02-07,174.92694091796875,176.5821360841545,173.58566282718309,173.93763837447938,33529100
2020-02-10,179.50245666503906,179.6356322600572,174.3181013028354,174.63201831574622,35844300
2020-02-11,175.45010375976562,181.404976191026,174.55591853044396,181.35741036743522,53159900
2020-02-12,175.70693969726562,176.79137365715482,172.98634018174704,176.53452983335058,47062900
2020-02-13,174.7556915283203,177.15285230690492,173.95662342040714,174.15639407614833,35295800
2020-02-14,176.3157501220703,176.37282330362197,173.7473408318349,174.31810167745414,23149500
2020-02-18,178.10411071777344,178.55120333839932,176.45843770794613,176.56307671522137,27792200
2020-02-19,178.63824462890625,179.4967096593026,177.8656231906105,179.38225153650183,29997500
2020-02-20,175.9102020263672,178.60961748444439,172.74340623006393,178.32345764295638,36862400
2020-02-21,170.34927368164062,175.03271382255443,169.07110912832576,174.7179393481353,48572600
2020-02-24,163.0045623779297,166.49568121094842,155.69801694393684,160.02853428667305,68311100
2020-02-25,160.31466674804688,166.77226468532234,159.91403421539607,166.16179711586173,68073300
2020-02-26,162.3177947998047,165.2652085443117,160.4482437964669,161.8790288632798,56206100
2020-02-27,150.88104248046875,159.32267991051899,150.69027405563045,155.78387978247017,93174900
2020-02-28,154.5343017578125,156.15586961350579,144.98620247898583,145.37728717616818,97012700
2020-03-02,164.81690979003906,164.94091583133388,154.82049461820966,157.68206501338486,71030800
2020-03-03,156.91897583007812,166.9249388317412,154.7727980450986,165.78031359069203,71677000
2020-03-04,162.68023681640625,162.82330947641486,157.97771647661318,160.71529466057675,49814400
2020-03-05,158.5977325439453,162.9854639383648,158.0444939987302,158.38788293870178,47817300
2020-03-06,154.11460876464844,155.58354143800216,148.8016208295447,155.1066131661126,72821100
2020-03-09,143.66990661621094,150.4709102604469,143.07852005747728,144.03237685786044,70419300
2020-03-10,153.49461364746094,153.59953846338823,145.53945250980186,150.86197447696378,65354400
2020-03-11,146.541015625,150.42320498839098,144.17544043039595,149.87951421502953,56371600
2020-03-12,132.64329528808594,146.38837226502318,132.18544819947115,138.59536565886447,93226400
2020-03-13,151.5010528564453,154.4389330731874,134.23624173903747,140.69385530886822,92727400
2020-03-16,129.17129516601562,142.45852889006653,128.77067702849106,133.53996136287964,87905900
2020-03-17,139.80674743652344,140.69382695241072,128.77062127847762,133.53990354805086,81059800
2020-03-18,133.92147827148438,139.26308174950935,128.78973899188242,131.6322279550157,81593200
2020-03-19,136.1248779296875,143.22155860648684,132.58606363997856,136.18210699531306,85922700
2020-03-20,131.01222229003906,140.31232502440062,129.59097058119917,139.26307684274727,84866200
2020-03-23,129.70542907714844,134.0836423608826,126.40509306902422,130.6879003068529,78975200
2020-03-24,141.4951171875,142.69698609572353,134.7513570384569,137.11691787677145,82516700
2020-03-25,140.14064025878906,147.2087226877982,137.77507945408,142.03882054333977,75638200
2020-03-26,148.90652465820312,149.43114859432802,141.52367080953024,141.5522853374376,64568100
2020-03-27,142.79232788085938,147.74284588636053,142.3153995883016,144.74773679128555,57042300
2020-03-30,152.8364715576172,153.18940847212681,143.08805386095278,145.40593346202493,63420300
2020-03-31,150.43272399902344,157.17648228814505,149.3357802257252,152.04472935430687,77927200
2020-04-01,145.0911407470703,150.47089186122017,143.86067202910272,145.94007261341795,57969900
2020-04-02,148.0957794189453,148.30562904799265,143.42188761859504,144.85267260499177,49630700
2020-04-03,146.73178100585938,150.11797527329975,145.16745656701602,147.94318311575407,41243300
2020-04-06,157.6438751220703,158.8171145960234,150.30871596903418,152.92228813961418,67111700
2020-04-07,155.94606018066406,162.15566297611616,155.72666262784153,161.7645781781633,62769000
2020-04-08,157.5103759765625,158.9793090252371,155.95558475544172,158.02545223774203,48318200
2020-04-09,157.51988220214844,159.64697839696208,155.79340404258915,158.6835884470431,51385100
2020-04-13,157.87274169921875,157.92998529979738,154.81087130671312,156.76627951778286,41905300
2020-04-14,165.6848907470703,165.7325864886539,160.24791096456894,161.2017675774533,52874300
2020-04-15,163.9488525390625,165.56087228065886,161.43067207396544,163.30022257965408,40940800
2020-04-16,168.87075805664062,169.0996888694817,164.92179250198183,166.25720041151084,50479600
2020-04-17,170.35879516601562,171.69418858871583,167.75475615970515,171.21726028708053,52765600
2020-04-20,166.98211669921875,170.50184951587818,166.91535431260507,168.4796783917098,36669600
2020-04-21,160.07620239257812,165.65625410027482,158.44510139820838,165.49410024429338,56203700
2020-04-22,165.5132293701172,165.9710765404302,162.93781902439517,163.48150981013578,34620200
2020-04-23,163.51010131835938,166.98213885982287,163.0236396780882,166.07597797475438,32790800
2020-04-24,166.49566650390625,166.50519982987552,162.83286078364466,164.12055841490894,34277600
2020-04-27,166.01876831054688,168.73725128349537,165.30337575639746,168.44155802319875,33194400
2020-04-28,161.97438049316406,167.56398052966216,161.5737624836166,167.48767025812512,34392700
2020-04-29,169.2427978515625,169.48126204143713,163.94890448010514,165.22706904470533,51286600
