Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-01-02,67.96524047851562,67.96524047851562,66.86334321576778,66.95868630395924,27278000
2020-01-03,67.60969543457031,68.21701041213593,66.90455963929347,66.93833093166674,23408000
2020-01-06,69.41175079345703,69.43707357174091,67.08728341306902,67.11856181784334,46768000
2020-01-07,69.27770233154297,69.69433116005676,69.10142026015306,69.54337187751644,34330000
2020-01-08,69.7707748413086,70.10894230540993,69.15452658104954,69.26327359975404,35314000
2020-01-09,70.50323486328125,70.94468628827275,70.0275120595761,70.60949659555637,33200000
2020-01-10,70.95860290527344,71.25555843063263,70.49381382407984,70.98393326993052,26258000
2020-01-13,71.50830078125,71.5802987088555,70.78032005165358,71.27093190331932,30730000
2020-01-14,71.03953552246094,71.63740929797085,70.89949492783481,71.50680981258097,26076000
2020-01-15,71.46707916259766,71.54554038332928,71.09266267189435,71.16019766565398,21550000
2020-01-16,72.0113296508789,72.03814512752133,71.50680619446874,71.77743868365702,26080000
2020-01-17,73.46927642822266,73.52042208698715,72.32864488929332,72.6260928863984,52424000
2020-01-21,73.60484313964844,73.9837301623698,73.00696178186003,73.44345017940596,48930000
2020-01-22,73.6852798461914,74.51505937450915,73.6252007502099,73.97627967986148,28458000
2020-01-23,73.72599792480469,74.16348648276097,73.50899638662688,73.86802372289836,26650000
2020-01-24,72.80635070800781,74.19824756618672,72.65786918227317,74.12971996265826,29786000
2020-01-27,71.09614562988281,71.3369848455489,70.48883073371002,71.0867120976033,34132000
2020-01-28,72.02821350097656,72.24173713836646,71.02810757836856,71.59321023544943,29724000
2020-01-29,72.33609008789062,72.70554357944198,71.77446531610946,72.42348475495831,21566000
2020-01-30,72.21443176269531,72.26408472389092,71.25852322835154,71.41246028918627,27110000
2020-01-31,71.14828491210938,72.98014809578615,70.8642408722417,72.89026812670592,43822000
2020-02-03,73.6222152709961,73.80595319465691,72.33161718194921,72.58188991973289,71636000
2020-02-04,71.77546691894531,72.86445279770527,70.61447552386295,72.2263595065279,95880000
2020-02-05,71.80724334716797,72.72739547157424,70.9943531463202,72.67922762415539,36376000
2020-02-06,73.29299926757812,73.57058761328271,72.02723126598686,72.10171450437299,37822000
2020-02-07,73.44892120361328,73.75381754289155,72.7686157058186,72.86693661087277,28360000
2020-02-10,74.91629028320312,74.92721651036499,73.25475361833762,73.35555980846348,38302000
2020-02-11,74.9858169555664,75.97003370117069,74.7568965647971,75.14521713630961,34852000
